f	cp_y	cp_x
0	0	0
0.17	0	0
0.34	0	0
0.51	0	0
0.68	0	0
0.85	0	0
1.02	0	0.012
1.19	0	0.088
1.36	0	0.319
1.53	0.021	0.653
1.7	0.107	0.921
1.87	0.308	0.993
2.04	0.538	1
2.21	0.743	1
2.38	0.863	1
2.55	0.949	1
2.72	0.982	1
2.89	0.99	1
3.06	0.995	1
3.23	0.998	1
3.4	0.998	1
3.57	0.999	1
3.74	1	1
3.91	1	1
4.08	1	1
4.25	1	1
4.42	0.999	1
4.59	0.998	1
4.76	0.998	1
4.93	0.995	1
5.1	0.99	1
5.27	0.984	1
5.44	0.953	1
5.61	0.867	1
5.78	0.755	1
5.95	0.554	1
6.12	0.322	0.995
6.29	0.112	0.93
6.46	0.023	0.672
6.63	0	0.334
6.8	0	0.098
6.97	0	0.012
7.14	0	0.001
7.31	0	0
7.48	0	0
7.65	0	0
7.82	0	0
7.99	0	0
8.16	0	0
8.33	0	0
8.5	0	0
