f	pp
0	0.0183193
0.17	0.0238027
0.34	0.030583
0.51	0.0397705
0.68	0.0531084
0.85	0.0708945
1.02	0.0995127
1.19	0.140621
1.36	0.20082
1.53	0.279829
1.7	0.388401
1.87	0.515592
2.04	0.634563
2.21	0.742668
2.38	0.823617
2.55	0.880447
2.72	0.913763
2.89	0.938096
3.06	0.95273
3.23	0.961533
3.4	0.968655
3.57	0.972117
3.74	0.974379
3.91	0.975236
4.08	0.975269
4.25	0.974516
4.42	0.972253
4.59	0.968825
4.76	0.96269
4.93	0.954045
5.1	0.938738
5.27	0.915521
5.44	0.883278
5.61	0.826113
5.78	0.747456
5.95	0.642187
6.12	0.521172
6.29	0.394188
6.46	0.28473
6.63	0.20442
6.8	0.14415
6.97	0.101454
7.14	0.0721592
7.31	0.0540918
7.48	0.0405156
7.65	0.0310303
7.82	0.0241914
7.99	0.0186582
8.16	0.0145068
8.33	0.0110332
8.5	0.00790234
